num_pre,T1,L1,B1,R1,time_pre,file_order,,,num_post,T2,L2,B2,R2,time_post
Question 1,C,H,N,H,4000,Q22,0.5,1,Question 10,C,H,N,H,4000
Result 1,C,H,-,N,18180,R22,,,Result 10,C,H,N,H,6081
Question 2,H,N,C,C,4000,Q26,0.5,0.75,Question 11,H,N,C,C,4000
Result 2,H,N,-,N,15561,R26,,,Result 11,H,N,C,N,7199
Question 3,C,-,C,O,4000,Q4,0.5,1,Question 20,C,-,C,O,4000
Result 3,-,-,N,O,11366,R4,,,Result 20,C,-,C,O,6879
Question 4,C,-,C,O,8000,Q5,0.05,0.75,Question 28,C,-,C,O,8000
Result 4,N,-,N,O,17475,R5,,,Result 28,C,-,C,N,5879
Question 5,C,C,C,C,4000,Q0,0.75,0.75,Question 2,C,C,C,C,4000
Result 5,-,C,C,C,13199,R0,,,Result 2,-,C,C,C,8800
Question 6,C,-,N,O,4000,Q8,0.5,0.75,Question 14,C,-,N,O,4000
Result 6,N,-,H,O,12400,R8,,,Result 14,H,-,N,O,5921
Question 7,C,H,H,H,8000,Q21,0.75,1,Question 23,C,H,H,H,8000
Result 7,-,H,H,H,8161,R21,,,Result 23,C,H,H,H,6958
Question 8,C,H,-,N,8000,Q19,0.5,0.25,Question 8,C,H,-,N,8000
Result 8,H,H,-,C,10121,R19,,,Result 8,C,C,C,H,8962
Question 9,H,C,H,C,4000,Q16,0.5,0.25,Question 26,H,C,H,C,4000
Result 9,H,H,H,H,32799,R16,,,Result 26,H,H,C,H,6800
Question 10,H,N,C,C,4000,Q27,0.75,0.75,Question 19,H,N,C,C,4000
Result 10,H,N,C,H,9520,R27,,,Result 19,H,N,C,H,10361
Question 11,O,C,-,O,4000,Q10,0.75,0.5,Question 1,O,C,-,O,4000
Result 11,-,C,-,O,15481,R10,,,Result 1,O,C,N,H,18679
Question 12,H,C,C,O,4000,Q14,0.25,0.75,Question 17,H,C,C,O,4000
Result 12,C,N,N,O,10201,R14,,,Result 17,H,C,C,N,8321
Question 13,C,C,C,C,8000,Q1,1,1,Question 6,C,C,C,C,8000
Result 13,C,C,C,C,12479,R1,,,Result 6,C,C,C,C,10800
Question 14,C,-,C,N,4000,Q2,0.25,1,Question 4,C,-,C,N,4000
Result 14,-,-,N,C,10320,R2,,,Result 4,C,-,C,N,7200
Question 15,H,C,H,C,8000,Q17,1,0.25,Question 27,H,C,H,C,8000
Result 15,H,C,H,C,19400,R17,,,Result 27,N,H,H,H,8959
Question 16,C,H,O,H,4000,Q24,0,0.25,Question 22,C,H,O,H,4000
Result 16,H,N,H,C,25682,R24,,,Result 22,N,H,H,C,6721
Question 17,C,-,N,O,8000,Q9,1,0.5,Question 18,C,-,N,O,8000
Result 17,C,-,N,O,11162,R9,,,Result 18,H,-,C,O,13599
Question 18,H,C,C,C,8000,Q13,0.25,0.75,Question 15,H,C,C,C,8000
Result 18,H,H,H,H,9559,R13,,,Result 15,H,H,C,C,11040
Question 19,C,H,O,H,8000,Q25,0.5,0.5,Question 3,C,H,O,H,8000
Result 19,H,H,N,H,9760,R25,,,Result 3,C,C,O,C,12721
Question 20,N,-,N,N,4000,Q6,0.25,0.25,Question 13,N,-,N,N,4000
Result 20,C,-,C,-,6999,R6,,,Result 13,O,-,C,C,12160
Question 21,N,-,N,N,8000,Q7,0.25,1,Question 12,N,-,N,N,8000
Result 21,C,-,C,C,10401,R7,,,Result 12,N,-,N,N,17041
Question 22,H,C,C,O,8000,Q15,0.5,1,Question 5,H,C,C,O,8000
Result 22,H,N,N,O,12040,R15,,,Result 5,H,C,C,O,13680
Question 23,H,C,C,C,4000,Q12,0.25,0.75,Question 7,H,C,C,C,4000
Result 23,H,-,H,H,10320,R12,,,Result 7,C,C,C,C,8160
Question 24,O,C,-,O,8000,Q11,1,0.75,Question 25,O,C,-,O,8000
Result 24,O,C,-,O,11080,R11,,,Result 25,O,H,-,O,8681
Question 25,C,H,H,H,4000,Q20,1,0.75,Question 21,C,H,H,H,4000
Result 25,C,H,H,H,7720,R20,,,Result 21,C,H,H,O,9040
Question 26,C,H,-,N,4000,Q18,0.75,0.5,Question 9,C,H,-,N,4000
Result 26,-,H,-,N,14441,R18,,,Result 9,-,H,-,C,5398
Question 27,C,-,C,N,8000,Q3,1,1,Question 24,C,-,C,N,8000
Result 27,C,-,C,N,9399,R3,,,Result 24,C,-,C,N,13041
Question 28,C,H,N,H,8000,Q23,0.25,0.5,Question 16,C,H,N,H,8000
Result 28,C,N,C,N,11000,R23,,,Result 16,H,H,C,H,8919
,,,,,,,,,,,,,,
,14,21,13,16,362226,,15.55,19.25,,19,22,21,15,264000