q_element,r_element,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27
H,H,24,25,20,22,21,25,17,13,20,20,19,10,21,18,10,24,18,18,19,25,24,21,0,20,23,15,4
H,C,0,0,2,3,2,1,6,9,4,2,3,4,1,3,14,1,6,4,2,1,2,3,23,3,3,6,10
H,N,0,0,4,0,0,0,3,0,1,3,3,8,0,2,2,1,1,1,2,0,0,2,3,0,0,2,7
H,O,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,4
H,-,1,1,0,1,3,0,0,4,1,1,1,4,4,3,0,0,0,3,1,0,0,0,0,3,0,3,1
C,H,6,4,11,4,20,18,10,2,9,15,12,6,4,5,8,15,4,22,4,5,6,5,1,1,1,2,5
C,C,37,30,18,37,18,13,15,32,19,11,8,15,26,28,22,17,19,12,21,29,36,26,19,24,35,14,5
C,N,0,9,10,2,2,3,16,9,14,17,14,20,3,7,7,5,21,5,13,11,4,11,17,11,8,20,23
C,O,1,3,0,0,1,0,1,1,2,3,2,3,2,2,2,7,2,0,6,0,0,2,9,4,0,2,13
C,-,2,0,7,3,5,12,4,2,2,0,10,2,11,4,7,2,0,7,2,1,0,2,0,6,2,8,0
N,H,0,0,1,0,0,0,3,0,1,2,2,2,0,0,0,3,4,5,0,0,0,1,0,2,0,0,2
N,C,11,2,8,0,2,3,0,2,4,11,3,4,2,2,1,2,4,1,3,1,2,7,1,2,3,2,1
N,N,0,5,5,15,10,7,12,11,9,1,3,5,7,12,6,3,6,2,5,12,11,6,2,3,8,9,12
N,O,4,9,0,1,2,1,1,3,2,1,8,5,6,0,7,7,2,3,8,2,3,2,12,8,5,4,1
N,-,1,0,2,0,2,5,0,0,0,1,0,0,1,2,2,1,0,5,0,1,0,0,1,1,0,1,0
O,H,1,1,1,1,1,1,0,0,1,3,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1
O,C,2,0,0,0,0,0,2,0,1,0,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,3
O,N,1,1,1,1,1,0,2,4,2,1,2,3,1,2,0,0,3,2,0,3,5,3,0,4,1,1,3
O,O,7,9,9,9,7,7,8,5,7,7,8,8,7,8,7,10,7,7,10,7,6,8,10,5,10,9,5
O,-,1,1,1,1,3,4,0,3,1,1,2,0,3,2,4,1,1,3,1,0,0,0,1,2,0,1,0
-,H,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1
-,C,1,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,4,1,0,0,2,0,1,1,0,0,1
-,N,0,0,0,0,0,0,3,1,0,0,0,2,0,1,1,0,1,0,2,1,1,2,2,1,1,0,1
-,O,0,0,0,1,0,1,4,1,1,0,0,2,0,1,1,2,0,0,0,0,0,2,0,1,0,0,2
-,-,11,12,12,11,12,10,2,10,9,12,12,7,12,10,10,10,6,9,10,11,9,8,9,9,11,12,7