question,time,avg,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27
Q0,4000,0.740740741,1,1,0.75,1,0.5,0,0.25,0.5,0.5,0,1,0.75,1,1,1,0.75,0.75,0.75,1,1,1,1,0.25,1,0.5,0.75,1
Q1,8000,0.814814815,1,1,1,1,1,0,0.75,1,1,1,1,0,1,1,0.5,1,1,1,1,1,1,1,0.75,1,0,0,1
Q2,4000,0.731481481,0.75,1,1,1,0.5,0.75,1,0.5,1,0.75,0.25,0.5,1,1,0.5,1,1,0.75,0.75,0.75,0.25,0.75,0.75,0.25,0.75,0.75,0.5
Q3,8000,0.833333333,1,0.25,1,1,1,1,0.25,0.5,1,1,1,1,1,1,1,0.75,0.75,0.25,0.75,1,1,1,1,0.75,0.75,0.75,0.75
Q4,4000,0.814814815,1,0.5,1,1,0.75,0.5,0.5,0.75,1,1,0.5,1,1,1,1,1,1,1,1,0.5,1,1,0.75,0.5,0.5,0.75,0.5
Q5,8000,0.833333333,1,0.75,0.75,0.5,1,0.5,0.75,0.75,0.5,1,0.5,0.75,1,1,1,1,1,1,1,0.5,1,1,1,1,0.5,0.75,1
Q6,4000,0.611111111,0.25,0.25,0.25,1,1,0.25,1,0.5,1,1,1,0,1,0.75,0.25,0.25,0.25,0.75,1,1,1,0,0.25,0,0.5,1,1
Q7,8000,0.731481481,1,0.75,1,1,0.75,1,0.25,0.5,0.75,1,1,0.75,0.75,0.75,0.75,0.25,0.25,0,0.75,1,1,0.75,1,0.25,0.5,1,1
Q8,4000,0.722222222,0.75,0.75,0.75,1,1,0.75,0.75,0.25,1,1,1,1,1,1,0.75,0.25,0.25,0.25,0.75,0.5,0.75,0.75,0.25,0.5,0.75,1,0.75
Q9,8000,0.861111111,0.75,1,0.5,1,1,1,0.75,0.5,0.75,0.75,1,1,1,1,1,0.75,0.75,1,1,1,1,1,0.5,1,0.75,1,0.5
Q10,4000,0.685185185,0.75,0.5,0.5,0.5,0.75,0.75,0.25,0.5,1,0.75,0.75,0.75,0.75,1,1,0.75,0.75,0.5,0.5,0.75,0.5,1,0.75,0.75,0.75,0.5,0.5
Q11,8000,0.851851852,1,1,0.75,0.75,1,0.75,0.5,1,0.75,1,0.75,0.75,1,1,1,0.75,0.75,1,0.75,0.75,1,0.75,0.75,0.75,1,1,0.75
Q12,4000,0.777777778,0.75,1,0.75,1,0.75,0.5,0.25,0.5,1,1,0.75,0.75,0.75,0.75,1,1,1,0.75,0.5,1,1,0.5,1,1,0.75,1,0
Q13,8000,0.768518519,1,1,0.75,1,1,1,0.5,0.75,0.75,1,0.75,0.75,1,1,0.25,0.5,0.5,0.75,0.75,1,1,0.25,0.75,0.75,1,1,0
Q14,4000,0.722222222,1,1,0.75,1,0.5,0.5,0.5,1,0.75,0.5,0.5,0.75,0.5,1,0.5,0.75,0.75,0.5,0.75,1,0.75,0.5,1,0.5,1,0.5,0.75
Q15,8000,0.75,1,1,1,1,0.75,0.75,0.75,1,0.5,0.75,0.75,0.5,1,1,0.25,0.5,0.5,1,0.5,0.75,1,1,1,0.5,0.75,0.25,0.5
Q16,4000,0.75,0.75,1,0.25,0.75,0.75,0.75,1,0.75,0.75,0.75,1,0.5,0.75,1,0.25,1,1,0.5,0.75,1,1,1,0.25,1,1,0.75,0
Q17,8000,0.87962963,1,0.75,0.25,1,1,1,0.75,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,0.75,1,1,1,0.75,0
Q18,4000,0.75,0.75,1,0.5,1,1,1,0.5,1,1,1,0.75,0.25,1,1,0.75,0.5,0.5,0.5,0.75,1,1,0.5,0.5,0.5,1,0.75,0.25
Q19,8000,0.722222222,0.75,0.5,0.25,0.25,0.75,0.5,0.5,0.25,1,1,0.75,0.5,1,1,1,0.75,0.75,0.5,0.75,1,1,1,0.5,0.75,1,1,0.5
Q20,4000,0.861111111,1,1,0.75,1,0.75,1,0.75,0.75,0.75,0.75,0.75,0.75,1,1,1,1,1,1,1,0.75,1,1,0.75,1,1,0,0.75
Q21,8000,0.87962963,1,0.75,1,1,1,0.75,0,1,1,0.75,1,0.75,0.75,1,0.75,1,1,1,1,1,1,1,0.75,1,0.75,1,0.75
Q22,4000,0.740740741,0.5,0.75,1,0.75,0.75,0.5,0.75,0.75,0.75,1,0.5,0.5,1,0.75,0.75,0.75,0.75,0.5,0.25,1,1,0.75,0.5,1,0.75,1,0.75
Q23,8000,0.768518519,0.5,0.5,0.5,1,0.5,0.75,0.75,0.5,0.75,1,1,0.5,1,1,1,1,1,1,0.75,0.75,1,1,0.5,1,0.75,0.5,0.25
Q24,4000,0.601851852,0.5,0.5,0.25,0.75,0.5,0.5,0.25,0.75,1,0.75,0.25,0.25,0.75,0.75,0.75,0.75,0.75,0.5,0.5,0.5,0.75,0.75,0.75,0.75,0.75,0.5,0.5
Q25,8000,0.833333333,0.5,0.75,0.5,1,0.5,0.75,1,0.75,1,1,0.75,0.75,1,1,0.75,1,1,1,0.75,0.75,1,0.75,1,1,0.75,0.75,0.75
Q26,4000,0.555555556,0.75,0.5,0.75,1,0.75,0.5,0.75,0.5,0.5,0.5,0.25,0.75,1,0.75,0.75,0.5,0.5,0.5,0.25,0.5,0.5,0.25,0.25,0.75,0.25,0.5,0.25
Q27,8000,0.75,0.75,1,0.75,1,1,0.75,1,0.75,0.75,1,0.25,0.25,1,1,0.75,0.25,0.25,0.75,0.25,1,0.75,0.75,0.5,1,1,1,0.75