question,time,position,element,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27
Q0,4000,T0,C,0.25,0.25,-,0.25,-,N,0.25,-,N,H,0.25,N,0.25,0.25,0.25,-,-,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-,0.25
Q0,4000,L0,C,0.25,0.25,0.25,0.25,-,N,H,0.25,0.25,H,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-,0.25,0.25,0.25,0.25,H,0.25,N,0.25,0.25
Q0,4000,B0,C,0.25,0.25,0.25,0.25,0.25,N,H,-,0.25,H,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,H,0.25,0.25,0.25,0.25
Q0,4000,R0,C,0.25,0.25,0.25,0.25,0.25,N,H,0.25,N,H,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,H,0.25,N,0.25,0.25
Q1,8000,T1,C,0.25,0.25,0.25,0.25,0.25,N,-,0.25,0.25,0.25,0.25,N,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,N,0.25,N,H,0.25
Q1,8000,L1,C,0.25,0.25,0.25,0.25,0.25,N,0.25,0.25,0.25,0.25,0.25,N,0.25,0.25,H,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,N,H,0.25
Q1,8000,B1,C,0.25,0.25,0.25,0.25,0.25,N,0.25,0.25,0.25,0.25,0.25,N,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,N,H,0.25
Q1,8000,R1,C,0.25,0.25,0.25,0.25,0.25,N,0.25,0.25,0.25,0.25,0.25,N,0.25,0.25,H,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,N,H,0.25
Q2,4000,T2,C,0.25,0.25,0.25,0.25,-,-,0.25,H,0.25,N,N,N,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,N,0.25,0.25,N,0.25,0.25,-
Q2,4000,B2,C,0.25,0.25,0.25,0.25,H,0.25,0.25,0.25,0.25,0.25,N,N,0.25,0.25,-,0.25,0.25,0.25,0.25,0.25,N,0.25,0.25,N,0.25,-,0.25
Q2,4000,R2,N,O,0.25,0.25,0.25,0.25,0.25,0.25,-,0.25,0.25,O,0.25,0.25,0.25,O,0.25,0.25,C,O,O,O,O,O,O,O,0.25,C
Q2,4000,L2,-,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
Q3,8000,T3,C,0.25,N,0.25,0.25,0.25,0.25,N,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,N,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
Q3,8000,B3,C,0.25,N,0.25,0.25,0.25,0.25,-,N,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,N,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
Q3,8000,R3,N,0.25,O,0.25,0.25,0.25,0.25,O,O,0.25,0.25,0.25,0.25,0.25,0.25,0.25,O,O,C,O,0.25,0.25,0.25,0.25,O,O,C,O
Q3,8000,L3,-,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
Q4,4000,T4,C,0.25,N,0.25,0.25,0.25,N,N,0.25,0.25,0.25,N,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,N,0.25,0.25,N,N,N,0.25,O
Q4,4000,B4,C,0.25,N,0.25,0.25,N,N,N,0.25,0.25,0.25,N,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,N,0.25,0.25,0.25,N,N,0.25,H
Q4,4000,R4,O,0.25,0.25,0.25,0.25,0.25,0.25,0.25,N,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,N,0.25
Q4,4000,L4,-,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
Q5,8000,T5,C,0.25,O,0.25,N,0.25,N,0.25,0.25,N,0.25,N,N,0.25,0.25,0.25,0.25,0.25,0.25,0.25,N,0.25,0.25,0.25,0.25,N,0.25,0.25
Q5,8000,B5,C,0.25,0.25,0.25,N,0.25,N,0.25,0.25,N,0.25,N,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,N,0.25,0.25,0.25,0.25,N,0.25,0.25
Q5,8000,R5,O,0.25,0.25,N,0.25,0.25,0.25,N,N,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,N,0.25
Q5,8000,L5,-,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
Q6,4000,T6,N,C,O,O,0.25,0.25,-,0.25,C,0.25,0.25,0.25,-,0.25,0.25,O,O,O,0.25,0.25,0.25,0.25,O,O,O,0.25,0.25,0.25
Q6,4000,B6,N,C,O,C,0.25,0.25,C,0.25,0.25,0.25,0.25,0.25,O,0.25,0.25,O,O,O,0.25,0.25,0.25,0.25,O,O,O,O,0.25,0.25
Q6,4000,R6,N,C,O,C,0.25,0.25,C,0.25,O,0.25,0.25,0.25,O,0.25,0.25,O,O,O,0.25,0.25,0.25,0.25,O,O,C,O,0.25,0.25
Q6,4000,L6,-,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,N,0.25,N,0.25,0.25,0.25,N,0.25,0.25,0.25,O,0.25,N,0.25,0.25,0.25
Q7,8000,T7,N,0.25,0.25,0.25,0.25,-,0.25,C,0.25,C,0.25,0.25,C,0.25,0.25,0.25,O,O,C,C,0.25,0.25,0.25,0.25,O,0.25,0.25,0.25
Q7,8000,B7,N,0.25,0.25,0.25,0.25,0.25,0.25,C,C,0.25,0.25,0.25,0.25,0.25,0.25,C,O,O,C,0.25,0.25,0.25,0.25,0.25,O,O,0.25,0.25
Q7,8000,R7,N,0.25,O,0.25,0.25,0.25,0.25,C,C,0.25,0.25,0.25,0.25,0.25,0.25,0.25,O,O,C,0.25,0.25,0.25,0.25,0.25,O,O,0.25,0.25
Q7,8000,L7,-,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,N,N,0.25,0.25,0.25,C,0.25,0.25,0.25,N,0.25,0.25,0.25,0.25,0.25
Q8,4000,T8,C,0.25,0.25,H,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-,-,H,0.25,N,0.25,0.25,O,N,0.25,0.25,0.25
Q8,4000,B8,N,O,O,0.25,0.25,0.25,0.25,O,O,0.25,0.25,0.25,0.25,0.25,0.25,O,O,O,C,O,O,O,0.25,O,O,O,0.25,0.25
Q8,4000,R8,O,0.25,0.25,0.25,0.25,0.25,N,0.25,N,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-,0.25,0.25,0.25,N,N,0.25,0.25,0.25,N
Q8,4000,L8,-,0.25,0.25,0.25,0.25,0.25,0.25,0.25,C,0.25,0.25,0.25,0.25,0.25,0.25,0.25,C,C,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
Q9,8000,T9,C,0.25,0.25,H,0.25,0.25,0.25,0.25,H,N,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,N,0.25,0.25,0.25,N
Q9,8000,B9,N,O,0.25,C,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,O,O,0.25,0.25,0.25,0.25,0.25,O,0.25,O,0.25,H
Q9,8000,R9,O,0.25,0.25,0.25,0.25,0.25,0.25,N,0.25,0.25,N,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
Q9,8000,L9,-,0.25,0.25,0.25,0.25,0.25,0.25,0.25,C,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
Q10,4000,L10,C,0.25,O,0.25,0.25,0.25,0.25,N,N,0.25,0.25,0.25,H,0.25,0.25,0.25,0.25,0.25,N,N,0.25,0.25,0.25,0.25,N,N,N,H
Q10,4000,T10,O,-,0.25,0.25,-,-,-,-,0.25,0.25,-,-,0.25,-,0.25,0.25,0.25,0.25,-,-,-,N,0.25,N,0.25,0.25,-,0.25
Q10,4000,R10,O,0.25,N,H,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
Q10,4000,B10,-,0.25,0.25,N,O,0.25,0.25,O,N,0.25,0.25,0.25,0.25,0.25,0.25,0.25,O,O,0.25,0.25,0.25,O,0.25,0.25,0.25,0.25,0.25,O
Q11,8000,L11,C,0.25,0.25,H,0.25,0.25,N,N,0.25,0.25,0.25,N,N,0.25,0.25,0.25,N,N,0.25,N,N,0.25,0.25,N,N,0.25,0.25,N
Q11,8000,T11,O,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,N,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
Q11,8000,R11,O,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-,0.25,0.25,0.25,0.25,0.25
Q11,8000,B11,-,0.25,0.25,0.25,O,0.25,0.25,O,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
Q12,4000,T12,H,0.25,0.25,C,0.25,0.25,C,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,N
Q12,4000,L12,C,-,0.25,0.25,0.25,0.25,-,H,N,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,N,0.25,0.25,N,0.25,0.25,-,0.25,N
Q12,4000,B12,C,0.25,0.25,0.25,0.25,0.25,0.25,H,-,0.25,0.25,-,O,-,H,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-
Q12,4000,R12,C,0.25,0.25,0.25,0.25,N,0.25,H,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-,N,0.25,0.25,N,0.25,0.25,0.25,0.25,O
Q13,8000,T13,H,0.25,0.25,0.25,0.25,0.25,0.25,0.25,C,0.25,0.25,0.25,0.25,0.25,0.25,0.25,C,C,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,N
Q13,8000,L13,C,0.25,0.25,H,0.25,0.25,0.25,H,0.25,0.25,0.25,0.25,0.25,0.25,0.25,H,H,H,-,0.25,0.25,0.25,N,N,H,0.25,0.25,H
Q13,8000,B13,C,0.25,0.25,0.25,0.25,0.25,0.25,N,0.25,0.25,0.25,N,-,0.25,0.25,H,0.25,0.25,0.25,0.25,0.25,0.25,N,0.25,0.25,0.25,0.25,N
Q13,8000,R13,C,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,N,0.25,0.25,0.25,0.25,0.25,H,0.25,0.25,0.25,N,0.25,0.25,N,0.25,0.25,0.25,0.25,H
Q14,4000,T14,H,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,C,0.25,0.25,0.25,0.25,0.25,0.25,C,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,C
Q14,4000,L14,C,0.25,0.25,0.25,0.25,H,-,N,0.25,0.25,0.25,0.25,0.25,N,0.25,0.25,0.25,0.25,-,0.25,0.25,0.25,N,0.25,N,0.25,-,0.25
Q14,4000,B14,C,0.25,0.25,0.25,0.25,H,N,-,0.25,0.25,-,N,N,-,0.25,N,N,N,0.25,O,0.25,0.25,O,0.25,N,0.25,N,0.25
Q14,4000,R14,O,0.25,0.25,N,0.25,0.25,0.25,0.25,0.25,N,N,0.25,0.25,0.25,0.25,N,0.25,0.25,0.25,0.25,0.25,N,0.25,0.25,0.25,0.25,0.25,0.25
Q15,8000,T15,H,0.25,0.25,0.25,0.25,0.25,0.25,C,0.25,0.25,0.25,0.25,C,0.25,0.25,0.25,0.25,0.25,0.25,N,0.25,0.25,0.25,0.25,0.25,0.25,C,0.25
Q15,8000,L15,C,0.25,0.25,0.25,0.25,0.25,H,0.25,0.25,N,0.25,0.25,0.25,0.25,0.25,H,H,H,0.25,0.25,0.25,0.25,0.25,0.25,N,N,H,N
Q15,8000,B15,C,0.25,0.25,0.25,0.25,H,0.25,0.25,0.25,N,0.25,0.25,N,0.25,0.25,H,H,H,0.25,N,H,0.25,0.25,0.25,N,0.25,0.25,0.25
Q15,8000,R15,O,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,N,N,0.25,0.25,0.25,N,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,N,N
Q16,4000,T16,H,-,0.25,0.25,-,C,0.25,0.25,0.25,C,0.25,0.25,C,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-,C
Q16,4000,B16,H,0.25,0.25,C,0.25,0.25,0.25,0.25,-,0.25,0.25,0.25,-,-,0.25,C,0.25,0.25,0.25,N,0.25,0.25,0.25,N,0.25,0.25,0.25,C
Q16,4000,L16,C,0.25,0.25,H,0.25,0.25,-,0.25,0.25,0.25,N,0.25,0.25,0.25,0.25,H,0.25,0.25,H,0.25,0.25,0.25,0.25,H,0.25,0.25,0.25,N
Q16,4000,R16,C,0.25,0.25,H,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,H,0.25,0.25,-,0.25,0.25,0.25,0.25,N,0.25,0.25,0.25,N
Q17,8000,T17,H,0.25,C,N,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,N
Q17,8000,B17,H,0.25,0.25,0.25,0.25,0.25,0.25,C,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,N
Q17,8000,L17,C,0.25,0.25,H,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,H,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,O
Q17,8000,R17,C,0.25,0.25,H,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,H,0.25,0.25,0.25,0.25,0.25,0.25,N,0.25,0.25,0.25,H,O
Q18,4000,L18,H,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,C
Q18,4000,T18,C,0.25,0.25,-,0.25,0.25,0.25,N,0.25,0.25,0.25,0.25,N,0.25,0.25,H,-,-,N,0.25,0.25,0.25,N,N,-,0.25,0.25,N
Q18,4000,R18,N,C,0.25,C,0.25,0.25,0.25,O,0.25,0.25,0.25,C,O,0.25,0.25,0.25,O,O,C,0.25,0.25,0.25,O,O,0.25,0.25,C,C
Q18,4000,B18,-,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,N,0.25,0.25,0.25,0.25,0.25,0.25,N,0.25,0.25,0.25,0.25,C,0.25,0.25,0.25
Q19,8000,L19,H,0.25,0.25,C,0.25,0.25,0.25,C,C,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
Q19,8000,T19,C,0.25,N,0.25,H,0.25,N,0.25,N,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,N,0.25,0.25,0.25,N
Q19,8000,R19,N,O,C,H,C,O,C,0.25,O,0.25,0.25,C,O,0.25,0.25,0.25,O,O,C,O,0.25,0.25,0.25,O,0.25,0.25,0.25,0.25
Q19,8000,B19,-,0.25,0.25,C,C,0.25,0.25,C,0.25,0.25,0.25,0.25,N,0.25,0.25,0.25,0.25,0.25,C,0.25,0.25,0.25,0.25,0.25,O,0.25,0.25,O
Q20,4000,L20,H,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,C,0.25
Q20,4000,B20,H,0.25,0.25,0.25,0.25,0.25,0.25,C,C,0.25,0.25,0.25,C,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,N,0.25
Q20,4000,R20,H,0.25,0.25,O,0.25,C,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,N,0.25
Q20,4000,T20,C,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,N,0.25,N,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,H,0.25,0.25,N,0.25,0.25,N,H
Q21,8000,L21,H,0.25,0.25,0.25,0.25,0.25,0.25,C,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
Q21,8000,B21,H,0.25,0.25,0.25,0.25,0.25,0.25,C,0.25,0.25,0.25,0.25,C,C,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,C,0.25,0.25
Q21,8000,R21,H,0.25,0.25,0.25,0.25,0.25,0.25,C,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
Q21,8000,T21,C,0.25,N,0.25,0.25,0.25,H,N,0.25,0.25,N,0.25,0.25,0.25,0.25,H,0.25,0.25,0.25,0.25,0.25,0.25,0.25,N,0.25,0.25,0.25,N
Q22,4000,L22,H,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,C,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
Q22,4000,R22,H,0.25,0.25,0.25,C,0.25,0.25,C,0.25,0.25,0.25,0.25,0.25,0.25,-,0.25,0.25,0.25,0.25,C,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
Q22,4000,T22,C,O,N,0.25,0.25,-,-,0.25,N,0.25,0.25,N,N,0.25,0.25,H,0.25,0.25,-,O,0.25,0.25,0.25,N,0.25,0.25,0.25,0.25
Q22,4000,B22,N,-,0.25,0.25,0.25,0.25,C,0.25,0.25,C,0.25,C,C,0.25,0.25,0.25,O,O,C,0.25,0.25,0.25,-,O,0.25,O,0.25,C
Q23,8000,L23,H,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,C
Q23,8000,R23,H,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,C
Q23,8000,T23,C,O,N,H,0.25,H,H,N,N,0.25,0.25,0.25,N,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,N,0.25,0.25,N,0.25
Q23,8000,B23,N,C,-,C,0.25,O,0.25,0.25,O,-,0.25,0.25,C,0.25,0.25,0.25,0.25,0.25,0.25,O,O,0.25,0.25,O,0.25,O,C,H
Q24,4000,L24,H,0.25,0.25,0.25,0.25,0.25,0.25,C,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
Q24,4000,R24,H,0.25,0.25,C,0.25,0.25,0.25,C,0.25,0.25,0.25,-,C,0.25,0.25,0.25,0.25,0.25,0.25,N,0.25,0.25,0.25,0.25,0.25,0.25,0.25,N
Q24,4000,T24,C,H,-,N,0.25,-,-,-,0.25,0.25,0.25,N,-,0.25,0.25,H,0.25,0.25,H,0.25,H,0.25,0.25,0.25,0.25,0.25,H,N
Q24,4000,B24,O,C,C,H,C,C,C,0.25,-,0.25,-,C,C,C,-,0.25,C,C,H,C,H,-,C,C,C,C,H,0.25
Q25,8000,L25,H,0.25,0.25,C,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
Q25,8000,R25,H,0.25,0.25,C,0.25,C,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,C
Q25,8000,T25,C,N,O,0.25,0.25,-,0.25,0.25,N,0.25,0.25,0.25,0.25,0.25,0.25,H,0.25,0.25,0.25,N,H,0.25,O,0.25,0.25,N,0.25,0.25
Q25,8000,B25,O,N,0.25,0.25,0.25,0.25,N,0.25,0.25,0.25,0.25,N,N,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,N,0.25
Q26,4000,T26,H,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,C,0.25,C,0.25,0.25,0.25,0.25,0.25,0.25,C,0.25,0.25,0.25,0.25,0.25,0.25,0.25,C,C
Q26,4000,B26,C,0.25,0.25,0.25,0.25,0.25,H,0.25,-,0.25,N,H,0.25,0.25,-,0.25,H,H,0.25,O,H,H,O,N,0.25,N,0.25,0.25
Q26,4000,R26,C,0.25,N,N,0.25,-,H,-,N,N,-,N,0.25,0.25,0.25,N,0.25,0.25,-,N,-,H,N,N,0.25,N,0.25,N
Q26,4000,L26,N,C,C,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,C,0.25,0.25,0.25,O,O,0.25,C,0.25,0.25,O,O,O,C,C,H
Q27,4000,T27,H,0.25,0.25,0.25,0.25,0.25,0.25,0.25,C,0.25,0.25,C,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
Q27,4000,B27,C,0.25,0.25,0.25,0.25,0.25,-,0.25,0.25,0.25,0.25,H,N,0.25,0.25,0.25,N,N,0.25,O,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
Q27,4000,R27,C,0.25,0.25,H,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-,N,0.25,0.25,H,N,N,0.25,N,0.25,O,0.25,N,0.25,0.25,0.25,0.25
Q27,4000,L27,N,O,0.25,0.25,0.25,0.25,0.25,0.25,0.25,C,0.25,0.25,C,0.25,0.25,0.25,C,C,C,C,0.25,0.25,O,O,0.25,0.25,0.25,C